id,title,description,category,brand,price,currency,image_url,tags,buy_link
tee-001,Nike Dri-FIT Victory Tee,Breathable athletic t-shirt with sweat-wicking fabric for training.,t-shirt,Nike,28.0,USD,https://static.nike.com/a/images/t_default/3793237b-5816-4b3e-8b23-99b3aa101422/M%2BNKCT%2BDRY%2BVICTORY%2BTOP.png,"breathable,dry-fit,athletic,short-sleeve",https://www.nike.com/t/nikecourt-victory-mens-dri-fit-tennis-top-ZCvPJN
tee-002,Adidas Aeroready Sport Tee,Lightweight tee built for everyday workouts and comfort.,t-shirt,Adidas,25.0,USD,"https://assets.adidas.com/images/w_600,f_auto,q_auto/9e0cf69f554d4092b0e5ac8401899725_9366/AEROREADY_Designed_to_Move_Feelready_Sport_Tee_Black_GT5545_01_laydown.jpg","lightweight,athletic,short-sleeve",https://www.adidas.com/us/aeroready-designed-to-move-feelready-sport-tee/GT5545.html
tee-003,Under Armour Tech 2.0 Tee,Ultra-soft quick-dry fabric ideal for running and gym.,t-shirt,Under Armour,24.0,USD,https://dks.scene7.com/is/image/GolfGalaxy/18UARMTCHSSTXXXXXAPTA_Academy_Steel_Heather?fit=constrain&fmt=webp&hei=800&qlt=80&wid=800,"athletic,quick-dry,short-sleeve,lightweight",https://www.underarmour.com/en-us/p/shirts_and_tops/ua_tech_2.0_mens_short_sleeve/1326413.html
tee-004,Uniqlo Dry-EX Crew Neck,Affordable quick-dry tee for daily wear.,t-shirt,Uniqlo,19.9,USD,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/456772/item/goods_72_456772_3x4.jpg?width=1000,"quick-dry,lightweight,casual",https://www.uniqlo.com/us/en/products/E456772-000/00
tee-005,H&M Basic Cotton Tee,Essential everyday cotton t-shirt at budget price.,t-shirt,H&M,7.99,USD,https://image.hm.com/assets/hm/ba/f9/baf9ae5354aeeffd3123060ca22d59166d552c6e.jpg?imwidth=1200,"cotton,basic,budget",https://www2.hm.com/en_us/productpage.0685816002.html
hood-001,Nike Club Fleece Hoodie,Cozy fleece hoodie for everyday comfort.,hoodie,Nike,45.0,USD,https://static.nike.com/a/images/t_default/xvbs11kuyc818vgrarc6/M%2BNSW%2BCLUB%2BHOODIE%2BPO%2BBB.png,"fleece,casual,warm",https://www.nike.com/t/sportswear-club-fleece-pullover-hoodie-Gw4Nwq
hood-002,Adidas Essentials 3-Stripes Hoodie,Classic hoodie with soft feel and signature stripes.,hoodie,Adidas,50.0,USD,"https://assets.adidas.com/images/w_600,f_auto,q_auto/36ef15b0c36a4633ba72743cb97f32da_9366/Essentials_3-Stripes_Fleece_Hoodie_Red_JE6298_21_model.jpg","casual,soft",https://www.adidas.com/us/essentials-3-stripes-fleece-hoodie/JE6298.html
hood-003,Champion Powerblend Hoodie,Iconic hoodie with a heavyweight feel.,hoodie,Champion,42.0,USD,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/30348715_fpx.tif,"heavyweight,warm,casual",https://www.champion.com/products/champion-powerblend-hoodie-c-logo-black
hood-004,Puma Essentials Hoodie,Soft fleece hoodie with adjustable drawcord.,hoodie,Puma,48.0,USD,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1000,h_1000/global/682580/01/mod01/fnd/PNA/fmt/png/Essentials-Men%27s-Hoodie","fleece,casual,warm",https://us.puma.com/us/en/pd/essentials-mens-hoodie/682580
hood-005,Balenciaga Oversized Hoodie,Luxury streetwear hoodie with oversized fit.,hoodie,Balenciaga,895.0,USD,"https://www.mrporter.com/variants/images/46376663162909073/in/w960_q60.jpg","luxury,oversized,designer",https://www.balenciaga.com/en-us/oversized-zip-up-hoodie-grey-813854378.html
short-001,Nike Dri-FIT Run Shorts,Lightweight running shorts with breathable mesh.,shorts,Nike,30.0,USD,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/c6526d4b-644a-4242-b86f-d9e6e8eb83ea/M+NK+DF+CHALLENGER+5BF+SHORT.png","lightweight,breathable,running",https://www.nike.com/t/stride-mens-dri-fit-7-brief-lined-running-shorts-HPRz86
short-002,Adidas Aeroready Training Shorts,Quick-dry shorts for gym sessions.,shorts,Adidas,26.0,USD,https://m.media-amazon.com/images/I/71tGroH1z9L._AC_SX569_.jpg,"quick-dry,gym",https://www.adidas.com/us/aeroready-designed-to-move-woven-sport-shorts/HC6857.html
short-003,Under Armour Woven Shorts,Durable woven shorts with comfort waistband.,shorts,Under Armour,24.0,USD,https://dks.scene7.com/is/image/GolfGalaxy/21UARMVNSHWVNSHRTAPB_Academy_Mod_Gray?qlt=70&wid=780&hei=780&fmt=webp&op_sharpen=1&fit=constrain,"durable,athletic",https://www.underarmour.com/en-us/p/shorts/ua_vanish_woven_mens_8_shorts/1370382.html
short-004,Puma Performance Shorts,Stretchy shorts for training days.,shorts,Puma,24.0,USD,"https://images.puma.com/image/upload/f_auto,q_auto,w_1000/global/691497/01/mod01/fnd/PNA/fmt/png","stretch,training",https://us.puma.com/us/en/pd/puma-sport-woven-short-men/691497
short-005,Old Navy Active Shorts,Budget-friendly athletic shorts for casual wear.,shorts,Old Navy,12.99,USD,https://oldnavy.gap.com/webcontent/0054/279/167/cn54279167.jpg,"budget,casual,athletic",https://oldnavy.gap.com/browse/product.do?pid=129627012
snkr-001,Nike Revolution 6,Neutral running shoe with soft cushioning.,sneakers,Nike,65.0,USD,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/88c3280a-1b77-4cf9-957f-d71b91e90393/NIKE+REVOLUTION+6+NN.png","running,cushioning,lightweight",https://www.nike.com/in/t/revolution-6-road-running-shoes-NC0P7k
snkr-002,Adidas Duramo SL,Daily trainer with breathable mesh upper.,sneakers,Adidas,60.0,USD,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/cf5ab9139b4c43e9ac1bf782d453970d_9366/Duramo_SL_2_Running_Shoes_Black_IH8225_HM1.jpg","breathable,running",https://www.adidas.com/us/duramo-sl-2-running-shoes/IH8225.html
snkr-003,ASICS Gel-Contend,Supportive running shoe for everyday miles.,sneakers,ASICS,58.0,USD,https://images.asics.com/is/image/asics/1011B881_005_SL_LT_GLB?$zoom$,"supportive,running,cushioning",https://www.asics.com/us/en-us/gel-contend/c/aa50109400/
snkr-004,New Balance 411,Ventilated everyday sneaker with cushioned midsole.,sneakers,New Balance,62.0,USD,https://images.unsplash.com/photo-1542272604-78d13c1f741a,"cushioning,ventilated,casual",https://www.newbalance.com/men/shoes/walking/
snkr-005,Skechers Go Walk Flex,Comfortable walking shoes with Hands Free Slip-ins technology at budget price.,sneakers,Skechers,35.0,USD,https://www.skechers.com/dw/image/v2/BDCN_PRD/on/demandware.static/-/Sites-skechers-master/default/dwf20ddda2/images/124963_BBK.jpg,"walking,comfort,budget",https://www.skechers.com/skechers-slip-ins-go-walk-flex---relish/124963.html
snkr-006,Nike Air Jordan 1 Retro,Iconic basketball sneaker with premium leather upper and Air-Sole cushioning.,sneakers,Nike,185.0,USD,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5c46baf6-cbcf-48cf-a2a8-f8f2e7f84e38/AIR+JORDAN+1+RETRO+HIGH+OG.png","basketball,retro,premium",https://www.nike.com/t/air-jordan-1-retro-high-og-shattered-backboard-mens-shoes-Xqtsfw
snkr-007,Yeezy Boost 350 V2,Limited edition designer sneaker collaboration with Boost cushioning technology.,sneakers,Adidas,230.0,USD,https://images.stockx.com/images/adidas-Yeezy-Boost-350-V2-Steel-Grey-Product.jpg,"designer,limited,boost",https://stockx.com/adidas-yeezy-boost-350-v2-steel-grey
bp-001,Herschel Nova Backpack,A timeless 18-litre backpack with clean silhouette made of durable polycanvas.,backpack,Herschel,80.0,USD,https://herschel.com/content/dam/herschel/products/11392/11392-00001-OS_01.jpg.sthumbnails.2000.2500.webp,"minimal,canvas,daypack",https://herschel.com/shop/backpacks/herschel-nova-backpack
bp-002,Samsonite Laptop Backpack,Business backpack designed for 15.6-inch laptops with SmartStrap for easy mobility.,backpack,Samsonite,70.0,USD,https://shop.samsonite.com/dw/image/v2/BBZB_PRD/on/demandware.static/-/Sites-product-catalog/default/dwd004e275/collections/_samsonite/detour/500x500/1444201612_TravelBP.jpg?sw=3000&sh=3000,"laptop,business,organization",https://shop.samsonite.com/backpacks/laptop-backpacks/
bp-003,Deuter Trail 30,Hiking daypack with Aircontact back system for ventilation and comfort on trails.,backpack,Deuter,150.0,USD,https://dk0fkjygbn9vu.cloudfront.net/cache-buster-11755067389/deuter/mediaroom/product-images/backpacks/hiking-backpacks/159244/image-thumb__159244__deuter_lightbox-img/3440723-3253-Trail30_wave_ivy-D-00.png,"hiking,ventilated,trail",https://www.deuter.com/us-en/shop/backpacks/p825646-hiking-backpack-trail-30
bp-004,Columbia Trek Backpack,Compact 18L pack with padded back panel and hydration compatibility.,backpack,Columbia,65.0,USD,https://m.media-amazon.com/images/I/71bA-yMBwhL._AC_SL1500_.jpg,"hiking,trail,hydration",https://www.columbia.com/p/columbia-trek-18l-backpack-1997401.html
hp-002,Bose SoundLink II,Premium on-ear wireless headphones with clear sound and 15-hour battery life.,headphones,Bose,279.0,USD,https://m.media-amazon.com/images/I/61HNzQu-abL._AC_SL1000_.jpg,"wireless,on-ear,premium",https://www.amazon.com/Bose-SoundLink-around-ear-wireless-headphones/dp/B0117RGG8E
hp-003,Beats Solo 4,Wireless on-ear headphones with spatial audio and 50-hour battery life.,headphones,Beats,199.0,USD,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MUW23?wid=1144&hei=1144&fmt=jpeg&qlt=90&.v=eWFkOEFOaFZOZ043NGhKemJDS1NsUWtuVHYzMERCZURia3c5SzJFOTlPaXdubU0rbkxnaHhsbEhvaUZjM3lNU0tod0dMbmJYNllqdk1vcWc1Q25OS1E","wireless,on-ear,spatial-audio",https://www.apple.com/shop/product/MUW23LL/A/beats-solo-4-on-ear-wireless-headphones-matte-black
hp-004,Sony ZX110,Affordable lightweight on-ear headphones for everyday listening.,headphones,Sony,25.0,USD,https://m.media-amazon.com/images/I/41CiQ7hR31L._AC_SL1000_.jpg,"budget,on-ear,lightweight",https://www.amazon.com/Sony-MDRZX110-BLK-Stereo-Headphones/dp/B00NJ2M33I
hp-005,Apple AirPods Pro,True wireless earbuds with Active Noise Cancellation and MagSafe charging case.,headphones,Apple,249.0,USD,"https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/MTJV3?wid=1144&hei=1144&fmt=jpeg","wireless,earbuds,noise-cancelling",https://www.apple.com/airpods-pro/
jkt-001,Columbia Watertight II,Waterproof breathable rain jacket with Omni-Tech technology and packable design.,jacket,Columbia,56.73,USD,https://columbia.scene7.com/is/image/ColumbiaSportswear2/1533891_010_f,"waterproof,lightweight,rain",https://www.rei.com/product/863637/columbia-watertight-ii-rain-jacket-mens
jkt-002,The North Face Flyweight 2.0,Ultra-light windbreaker with DWR finish that packs into its own pocket.,jacket,The North Face,89.0,USD,https://content.backcountry.com/images/items/1200/TNF/TNFZE2R/WHIDUN.jpg,"windproof,packable,lightweight",https://www.rei.com/product/222414/the-north-face-flyweight-20-hoodie-mens
jkt-003,Patagonia Nano Puff,Warm synthetic insulated jacket with PrimaLoft Gold Eco and recycled materials.,jacket,Patagonia,229.0,USD,https://images.evo.com/imgp/700/115429/1166492/patagonia-nano-puff-hoodie-men-s-.jpg,"insulated,lightweight,synthetic",https://www.patagonia.com/product/mens-nano-puff-insulated-jacket/84213.html
jkt-004,Arc'teryx Squamish Hoody,Technical windbreaker with adjustable StormHood and highly packable design.,jacket,Arc'teryx,165.0,USD,"https://arcteryx.com/dw/image/v2/BDVV_PRD/on/demandware.static/-/Sites-arcteryx-master-catalog/default/dwc35e5502/images/S24/450/Squamish-Hoody-Black.jpg","wind-resistant,technical,packable",https://arcteryx.com/ca/en/shop/mens/squamish-hoody
leg-001,Nike One Leggings,Non-sheer training leggings with Dri-FIT technology and phone pocket.,leggings,Nike,45.0,USD,https://dks.scene7.com/is/image/GolfGalaxy/24NIKWNKNHRCRPTGHAPB_Smoke_Grey_Htr?qlt=70&wid=1100&hei=1100&fmt=webp&op_sharpen=1&fit=constrain,"training,moisture-wicking,non-sheer",https://www.dickssportinggoods.com/f/womens-nike-one-tight
leg-002,Lululemon Align,Buttery-soft yoga leggings with weightless feel and no front seam.,leggings,Lululemon,98.0,USD,https://images.lululemon.com/is/image/lululemon/LW5CTPS_026083_1,"yoga,soft,premium",https://shop.lululemon.com/p/womens-leggings/Align-Pant-2/_/prod2020012
leg-003,Adidas Techfit,Compression tights with AEROREADY moisture management and locked-in feel.,leggings,Adidas,40.0,USD,"https://assets.adidas.com/images/w_600,f_auto,q_auto/6412ceb7e833473abc380ffcee8d22c5_9366/TECHFIT_Compression_Training_Long_Tights_Black_IN5590_21_model.jpg","compression,training,moisture-wicking",https://www.adidas.com/us/techfit-compression-training-long-tights/IN5590.html
leg-004,Puma Training Leggings,Performance leggings with dryCELL technology for moisture management.,leggings,Puma,35.0,USD,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/525901/01/mod01/fnd/PNA/fmt/png","training,stretch,moisture-wicking",https://us.puma.com/us/en/pd/train-all-day-essentials-womens-7-8-training-leggings/525901
leg-005,Fabletics PowerHold,High-waisted compression leggings with power mesh waistband and side pockets.,leggings,Fabletics,59.95,USD,https://cdn.shopify.com/s/files/1/1820/6835/products/LG2045880-2482-1.jpg,"compression,high-waisted,pockets",https://www.fabletics.com/products/ON-THE-GO-HIGH-WAISTED-POCKET-LEGGING-LG2045880-2482
leg-006,Athletic Works Basic,Budget-friendly workout leggings with stretch fabric and side pockets.,leggings,Athletic Works,9.98,USD,"https://i5.walmartimages.com/seo/Athletic-Works-Women-s-Active-Yoga-Ankle-Leggings-with-Side-Pockets_5dfedfed-d1e6-4e67-b54b-2c3c8df9ac00.1ef6e34c86c3d2e1dc28e0e3491c8e0e.jpeg","budget,basic,workout",https://www.walmart.com/ip/Athletic-Works-Women-s-and-Women-s-Plus-Stretch-Cotton-Blend-Ankle-Leggings-with-Side-Pockets/304448070
socks-001,Nike Everyday Plus Cushioned,Cotton-blend crew socks 3-pack with arch support and cushioned footbed.,socks,Nike,20.0,USD,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/402babc5-e333-47d2-b940-0fedf6bc8b0d/U+NK+EVERYDAY+PLUS+CUSH+CREW.png","cotton,crew,cushioned",https://www.nike.com/t/everyday-plus-cushioned-training-crew-socks-3-pairs-kt8drs
socks-002,Adidas Low-Cut 3-Pack,Lightweight no-show socks with strategic cushioning and moisture control.,socks,Adidas,14.0,USD,"https://assets.adidas.com/images/w_600,f_auto,q_auto/33c7d3ca4e3742e6907eaeef0134851e_9366/Cushioned_Low-Cut_Socks_3_Pairs_White_GB4181_03_standard.jpg","lightweight,no-show,cushioned",https://www.adidas.com/us/cushioned-low-cut-socks-3-pairs/GB4181.html
socks-003,Puma Half-Terry Low Cut,Breathable ankle socks 3-pack with half-terry cushioning for comfort.,socks,Puma,10.0,USD,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1200,h_1200/global/859474/04/fnd/PNA/fmt/png/Men's-Half-Terry-Low-Cut-Socks-(3-Pairs)","ankle,breathable,cushioned",https://us.puma.com/us/en/pd/mens-half-terry-low-cut-socks-3-pairs/859474
socks-004,New Balance Active Crew,Performance crew socks 3-pack with arch support and moisture management.,socks,New Balance,13.0,USD,https://nb.scene7.com/is/image/NB/las35203as1_nb_04_i?$pdpflexf22x$&qlt=80&fmt=webp&wid=880&hei=880,"moisture-wicking,crew,performance",https://www.newbalance.com/pd/active-crew-socks-3-pack/LAS35203.html
socks-005,Bombas Cushioned No-Show,Premium no-show socks with honeycomb arch support and seamless toe.,socks,Bombas,14.0,USD,"https://assets.bombas.com/image/fetch/c_crop,h_3040,w_3040/b_rgb:f1f1ee,c_scale,w_1068/f_auto,q_auto/https://images.ctfassets.net/09hbx69ra4p2/2uFC947XGkoyiNa80l41si/94a95b2e79067bbeaba31ee99af40794/3024-dawnblue-darksage-adult-male-layflat-1-transparent.png","premium,cushioned,arch-support",https://bombas.com/products/mens-cushioned-no-shows
socks-006,Hanes Classic Crew 10-Pack,Budget cotton crew socks bulk pack with comfort toe seam and stay-up top.,socks,Hanes,18.83,USD,https://m.media-amazon.com/images/I/81xDKVA2AnL._AC_SX679_.jpg,"budget,cotton,bulk",https://www.amazon.com/Hanes-Mens-Crew-Sock-Pack/dp/B008H2ET0U